boat_COG	boat_heading	boat_lat	boat_lon	datetime	skiff_COG	skiff_heading	skiff_lat	skiff_lon
222.05	322.281625282	60.963035	-146.867371667	2018-07-25 15:15:17	nan	nan	nan	nan
218.68	320.838066273	60.962883333	-146.867643333	2018-07-25 15:15:22	nan	nan	nan	nan
223.74	319.890869746	60.962721667	-146.86798	2018-07-25 15:15:28	nan	nan	nan	nan
222.41	322.151823878	60.962595	-146.868268333	2018-07-25 15:15:33	nan	nan	nan	nan
222.23	324.164680903	60.962488333	-146.868545	2018-07-25 15:15:38	nan	nan	nan	nan
228.95	322.847291313	60.962388333	-146.86882	2018-07-25 15:15:43	nan	nan	nan	nan
229.28	320.91310459	60.962255	-146.869106667	2018-07-25 15:15:48	nan	nan	nan	nan
229.28	323.564885555	60.962255	-146.869106667	2018-07-25 15:15:48	nan	nan	nan	nan
229.28	322.60775661	60.962255	-146.869106667	2018-07-25 15:15:48	nan	nan	nan	nan
229.28	322.427802196	60.962255	-146.869106667	2018-07-25 15:15:48	nan	nan	nan	nan
229.28	322.559667969	60.962255	-146.869106667	2018-07-25 15:15:48	nan	nan	nan	nan
229.28	321.963046832	60.962255	-146.869106667	2018-07-25 15:15:48	nan	nan	nan	nan
229.28	321.798245386	60.962255	-146.869106667	2018-07-25 15:15:48	nan	nan	nan	nan
229.28	321.966746994	60.962255	-146.869106667	2018-07-25 15:15:48	nan	nan	nan	nan
229.28	320.847039036	60.962255	-146.869106667	2018-07-25 15:15:48	nan	nan	nan	nan
229.28	321.021942686	60.962255	-146.869106667	2018-07-25 15:15:48	nan	nan	nan	nan
229.28	320.949224982	60.962255	-146.869106667	2018-07-25 15:15:48	nan	nan	nan	nan
229.28	321.643128261	60.962255	-146.869106667	2018-07-25 15:15:48	nan	nan	nan	nan
226.14	322.906317147	60.9606	-146.872336667	2018-07-25 15:16:50	nan	nan	nan	nan
224.75	321.186569911	60.960463333	-146.87261	2018-07-25 15:16:55	nan	nan	nan	nan
223.66	321.025070484	60.960326667	-146.8729	2018-07-25 15:17:00	nan	nan	nan	nan
221.32	321.625955508	60.960205	-146.87316	2018-07-25 15:17:05	nan	nan	nan	nan
225.21	322.889582439	60.960086667	-146.873425	2018-07-25 15:17:10	nan	nan	nan	nan
227.92	322.251336583	60.959951667	-146.873708333	2018-07-25 15:17:15	nan	nan	nan	nan
230.04	321.593359134	60.959833333	-146.873998333	2018-07-25 15:17:20	nan	nan	nan	nan
224.12	320.803764571	60.959711667	-146.87428	2018-07-25 15:17:25	nan	nan	nan	nan
225.18	321.014389166	60.959563333	-146.874541667	2018-07-25 15:17:31	nan	nan	nan	nan
228.12	321.760444766	60.959405	-146.874788333	2018-07-25 15:17:36	nan	nan	nan	nan
224.54	322.83305108	60.959275	-146.875043333	2018-07-25 15:17:41	nan	nan	nan	nan
223.39	322.477518185	60.95914	-146.87529	2018-07-25 15:17:46	nan	nan	nan	nan
225.96	322.438730943	60.959016667	-146.875541667	2018-07-25 15:17:51	nan	nan	nan	nan
221.89	322.588130848	60.958878333	-146.875818333	2018-07-25 15:17:56	nan	nan	nan	nan
219.36	321.796552098	60.958703333	-146.876108333	2018-07-25 15:18:02	nan	nan	nan	nan
222.64	321.16338279	60.958583333	-146.876383333	2018-07-25 15:18:07	nan	nan	nan	nan
219.78	319.935478441	60.958441667	-146.876643333	2018-07-25 15:18:12	nan	nan	nan	nan
219.11	320.144138973	60.958325	-146.876885	2018-07-25 15:18:17	nan	nan	nan	nan
230.11	321.388748043	60.958208333	-146.877141667	2018-07-25 15:18:22	nan	nan	nan	nan
224.8	322.257716722	60.958076667	-146.877423333	2018-07-25 15:18:27	nan	nan	nan	nan
221.14	321.677228679	60.957923333	-146.87767	2018-07-25 15:18:32	nan	nan	nan	nan
225.38	321.594139768	60.957771667	-146.877921667	2018-07-25 15:18:37	nan	nan	nan	nan
225.04	321.181785428	60.957636667	-146.878188333	2018-07-25 15:18:42	nan	nan	nan	nan
220.01	321.281460917	60.957498333	-146.878435	2018-07-25 15:18:47	nan	nan	nan	nan
221.49	322.74888471	60.957356667	-146.878688333	2018-07-25 15:18:52	nan	nan	nan	nan
223.64	322.243038559	60.95723	-146.87893	2018-07-25 15:18:57	nan	nan	nan	nan
223.41	322.388679738	60.957101667	-146.879163333	2018-07-25 15:19:02	nan	nan	nan	nan
222.6	321.163599866	60.956941667	-146.879435	2018-07-25 15:19:07	nan	nan	nan	nan
218.45	323.217467516	60.956776667	-146.879685	2018-07-25 15:19:12	nan	nan	nan	nan
230.37	324.919064113	60.95663	-146.880001667	2018-07-25 15:19:18	nan	nan	nan	nan
226.26	322.441469616	60.956515	-146.880266667	2018-07-25 15:19:23	nan	nan	nan	nan
223.52	319.516481137	60.95639	-146.880511667	2018-07-25 15:19:28	nan	nan	nan	nan
226.08	322.237367113	60.956245	-146.880793333	2018-07-25 15:19:33	nan	nan	nan	nan
222.29	323.91438322	60.956113333	-146.881086667	2018-07-25 15:19:38	nan	nan	nan	nan
222.34	324.301018797	60.955988333	-146.881335	2018-07-25 15:19:43	nan	nan	nan	nan
224.19	323.30890962	60.95587	-146.88157	2018-07-25 15:19:48	nan	nan	nan	nan
221.14	321.959434817	60.955728333	-146.881833333	2018-07-25 15:19:53	nan	nan	nan	nan
224.83	323.137173562	60.955583333	-146.882086667	2018-07-25 15:19:58	nan	nan	nan	nan
218.36	320.982297262	60.955431667	-146.88233	2018-07-25 15:20:03	nan	nan	nan	nan
220.78	322.861049922	60.955291667	-146.882576667	2018-07-25 15:20:08	nan	nan	nan	nan
220.78	322.847291313	60.955291667	-146.882576667	2018-07-25 15:20:08	nan	nan	nan	nan
220.78	323.729838907	60.955291667	-146.882576667	2018-07-25 15:20:08	nan	nan	nan	nan
220.78	321.371038611	60.955291667	-146.882576667	2018-07-25 15:20:08	nan	nan	nan	nan
224.2	322.59620864	60.954713333	-146.883718333	2018-07-25 15:20:29	nan	nan	nan	nan
231.9	323.118815275	60.954563333	-146.884061667	2018-07-25 15:20:35	nan	nan	nan	nan
232.93	320.635253755	60.95446	-146.884348333	2018-07-25 15:20:40	nan	nan	nan	nan
230.21	322.026549579	60.954325	-146.884675	2018-07-25 15:20:45	nan	nan	nan	nan
231.5	322.305121558	60.954198333	-146.884978333	2018-07-25 15:20:49	nan	nan	nan	nan
225.26	322.634369073	60.95407	-146.885253333	2018-07-25 15:20:54	nan	nan	nan	nan
221.91	322.819552493	60.953918333	-146.885546667	2018-07-25 15:21:00	nan	nan	nan	nan
220.5	323.936634007	60.953781667	-146.885783333	2018-07-25 15:21:05	nan	nan	nan	nan
223.89	322.932456223	60.953648333	-146.886028333	2018-07-25 15:21:10	nan	nan	nan	nan
219.99	322.281625282	60.953496667	-146.886265	2018-07-25 15:21:16	nan	nan	nan	nan
222.1	323.31410016	60.953363333	-146.886455	2018-07-25 15:21:21	nan	nan	nan	nan
222.94	321.954074021	60.953226667	-146.886716667	2018-07-25 15:21:26	nan	nan	nan	nan
219.39	321.068643202	60.953105	-146.886976667	2018-07-25 15:21:31	nan	nan	nan	nan
220.31	323.249493518	60.952981667	-146.887235	2018-07-25 15:21:36	nan	nan	nan	nan
220.05	322.98961917	60.952845	-146.88748	2018-07-25 15:21:41	nan	nan	nan	nan
222.94	323.158634035	60.952718333	-146.88773	2018-07-25 15:21:46	nan	nan	nan	nan
222.06	322.651399846	60.952583333	-146.888018333	2018-07-25 15:21:51	nan	nan	nan	nan
224.91	323.91438322	60.952443333	-146.888265	2018-07-25 15:21:56	nan	nan	nan	nan
220.53	321.593359134	60.952275	-146.888543333	2018-07-25 15:22:02	nan	nan	nan	nan
223.67	321.463366351	60.95216	-146.888801667	2018-07-25 15:22:07	nan	nan	nan	nan
223.38	324.96132585	60.952021667	-146.889051667	2018-07-25 15:22:12	nan	nan	nan	nan
224.65	325.117036547	60.951846667	-146.889343333	2018-07-25 15:22:18	nan	nan	nan	nan
222.98	324.512603466	60.951726667	-146.88958	2018-07-25 15:22:23	nan	nan	nan	nan
223.31	321.168994051	60.951601667	-146.889848333	2018-07-25 15:22:28	nan	nan	nan	nan
227.77	323.236358309	60.951461667	-146.89012	2018-07-25 15:22:33	nan	nan	nan	nan
227.77	323.589224753	60.951461667	-146.89012	2018-07-25 15:22:33	nan	nan	nan	nan
227.77	321.642720339	60.951461667	-146.89012	2018-07-25 15:22:33	nan	nan	nan	nan
227.77	320.498345344	60.951461667	-146.89012	2018-07-25 15:22:33	nan	nan	nan	nan
227.77	318.318341553	60.951461667	-146.89012	2018-07-25 15:22:33	nan	nan	nan	nan
227.77	319.806329869	60.951461667	-146.89012	2018-07-25 15:22:33	nan	nan	nan	nan
227.77	321.865229948	60.951461667	-146.89012	2018-07-25 15:22:33	nan	nan	nan	nan
227.77	321.954074021	60.951461667	-146.89012	2018-07-25 15:22:33	nan	nan	nan	nan
227.77	321.409391232	60.951461667	-146.89012	2018-07-25 15:22:33	nan	nan	nan	nan
227.77	320.884250314	60.951461667	-146.89012	2018-07-25 15:22:33	nan	nan	nan	nan
227.77	322.251336583	60.951461667	-146.89012	2018-07-25 15:22:33	nan	nan	nan	nan
222.63	322.046822318	60.949931667	-146.893076667	2018-07-25 15:23:30	nan	nan	nan	nan
227.77	321.337109444	60.949828333	-146.893368333	2018-07-25 15:23:35	nan	nan	nan	nan
233.15	322.369317242	60.949718333	-146.893633333	2018-07-25 15:23:40	nan	nan	nan	nan
231.44	321.855634707	60.94961	-146.893928333	2018-07-25 15:23:45	nan	nan	nan	nan
227.36	321.315034749	60.949488333	-146.894215	2018-07-25 15:23:50	nan	nan	nan	nan
233.27	321.692142212	60.949363333	-146.894516667	2018-07-25 15:23:55	nan	nan	nan	nan
234.85	321.324000944	60.949248333	-146.8948	2018-07-25 15:24:00	nan	nan	nan	nan
232.83	324.493430725	60.949156667	-146.895136667	2018-07-25 15:24:05	nan	nan	nan	nan
242.59	321.897220346	60.949053333	-146.895443333	2018-07-25 15:24:10	nan	nan	nan	nan
235.57	320.190206144	60.948951667	-146.895721667	2018-07-25 15:24:15	nan	nan	nan	nan
234.9	321.933717374	60.948846667	-146.896015	2018-07-25 15:24:20	nan	nan	nan	nan
238.14	322.467666426	60.94875	-146.896395	2018-07-25 15:24:25	nan	nan	nan	nan
231.01	321.675830563	60.948618333	-146.896768333	2018-07-25 15:24:31	nan	nan	nan	nan
236.21	322.520587329	60.948503333	-146.897091667	2018-07-25 15:24:36	nan	nan	nan	nan
231.17	322.764410338	60.948406667	-146.897378333	2018-07-25 15:24:41	nan	nan	nan	nan
232.18	321.467863312	60.948293333	-146.897663333	2018-07-25 15:24:46	nan	nan	nan	nan
232.17	322.552699375	60.948173333	-146.897945	2018-07-25 15:24:51	nan	nan	nan	nan
233.89	323.398118974	60.948063333	-146.898268333	2018-07-25 15:24:56	nan	nan	nan	nan
231.57	321.579404462	60.947958333	-146.898585	2018-07-25 15:25:01	nan	nan	nan	nan
232.11	322.586640206	60.947816667	-146.89893	2018-07-25 15:25:07	nan	nan	nan	nan
236.59	322.07826254	60.947703333	-146.899235	2018-07-25 15:25:12	nan	nan	nan	nan
232.68	322.500668156	60.947586667	-146.899538333	2018-07-25 15:25:17	nan	nan	nan	nan
238.19	323.567331531	60.947481667	-146.899871667	2018-07-25 15:25:22	nan	nan	nan	nan
233.4	323.909088351	60.94737	-146.900185	2018-07-25 15:25:27	nan	nan	nan	nan
231.99	324.226872652	60.947253333	-146.900478333	2018-07-25 15:25:32	nan	nan	nan	nan
239.82	321.037052567	60.947158333	-146.900765	2018-07-25 15:25:37	nan	nan	nan	nan
241.95	323.679843451	60.947061667	-146.901093333	2018-07-25 15:25:42	nan	nan	nan	nan
237.58	326.519214393	60.946948333	-146.901415	2018-07-25 15:25:47	nan	nan	nan	nan
235.22	321.987115631	60.946833333	-146.90172	2018-07-25 15:25:52	nan	nan	nan	nan
235.1	321.19094982	60.946696667	-146.902098333	2018-07-25 15:25:58	nan	nan	nan	nan
230.34	322.925269622	60.946593333	-146.902395	2018-07-25 15:26:03	nan	nan	nan	nan
233.31	322.844958652	60.946481667	-146.902721667	2018-07-25 15:26:08	nan	nan	nan	nan
231.41	322.792118221	60.946375	-146.903018333	2018-07-25 15:26:13	nan	nan	nan	nan
234.35	322.083730589	60.946266667	-146.903321667	2018-07-25 15:26:18	nan	nan	nan	nan
231.02	322.138458602	60.946155	-146.903631667	2018-07-25 15:26:23	nan	nan	nan	nan
231.02	321.994774196	60.946155	-146.903631667	2018-07-25 15:26:23	nan	nan	nan	nan
231.08	321.675830563	60.945925	-146.904273333	2018-07-25 15:26:33	nan	nan	nan	nan
231.08	322.296578696	60.945925	-146.904273333	2018-07-25 15:26:33	nan	nan	nan	nan
231.08	322.274439313	60.945925	-146.904273333	2018-07-25 15:26:33	nan	nan	nan	nan
231.08	322.994709974	60.945925	-146.904273333	2018-07-25 15:26:33	nan	nan	nan	nan
231.08	322.00984754	60.945925	-146.904273333	2018-07-25 15:26:33	nan	nan	nan	nan
231.08	322.029039043	60.945925	-146.904273333	2018-07-25 15:26:33	nan	nan	nan	nan
231.08	322.34051816	60.945925	-146.904273333	2018-07-25 15:26:33	nan	nan	nan	nan
231.08	322.083730589	60.945925	-146.904273333	2018-07-25 15:26:33	nan	nan	nan	nan
231.08	323.020614059	60.945925	-146.904273333	2018-07-25 15:26:33	nan	nan	nan	nan
238.31	322.949103831	60.944916667	-146.90715	2018-07-25 15:27:19	nan	nan	nan	nan
238.31	323.062622452	60.944916667	-146.90715	2018-07-25 15:27:19	nan	nan	nan	nan
233.07	323.705216743	60.94467	-146.907871667	2018-07-25 15:27:30	nan	nan	nan	nan
233.67	322.254173944	60.94456	-146.908161667	2018-07-25 15:27:35	nan	nan	nan	nan
236.86	323.995073871	60.94443	-146.908521667	2018-07-25 15:27:41	nan	nan	nan	nan
235.48	324.288716192	60.944315	-146.908855	2018-07-25 15:27:46	nan	nan	nan	nan
233.98	322.713918872	60.944198333	-146.909183333	2018-07-25 15:27:51	nan	nan	nan	nan
233.04	323.141537081	60.94409	-146.909473333	2018-07-25 15:27:56	nan	nan	nan	nan
233.31	321.691057654	60.943965	-146.909751667	2018-07-25 15:28:01	nan	nan	nan	nan
228.86	322.539787408	60.943865	-146.910071667	2018-07-25 15:28:06	nan	nan	nan	nan
234.49	323.83638738	60.943771667	-146.910363333	2018-07-25 15:28:11	nan	nan	nan	nan
234.1	322.859458478	60.94365	-146.91066	2018-07-25 15:28:16	nan	nan	nan	nan
231.84	323.04287393	60.943525	-146.910966667	2018-07-25 15:28:21	nan	nan	nan	nan
233.58	322.002054292	60.943386667	-146.911331667	2018-07-25 15:28:27	nan	nan	nan	nan
233.33	322.600026577	60.943286667	-146.911681667	2018-07-25 15:28:32	nan	nan	nan	nan
233.48	322.03332987	60.94318	-146.912	2018-07-25 15:28:37	nan	nan	nan	nan
231.97	323.321258852	60.943058333	-146.912298333	2018-07-25 15:28:42	nan	nan	nan	nan
233.86	323.0754503	60.942945	-146.912591667	2018-07-25 15:28:47	nan	nan	nan	nan
232.04	324.7689901	60.942833333	-146.912916667	2018-07-25 15:28:52	nan	nan	nan	nan
234.31	324.386119248	60.942711667	-146.913225	2018-07-25 15:28:57	nan	nan	nan	nan
232.01	322.453987767	60.942596667	-146.913515	2018-07-25 15:29:02	nan	nan	nan	nan
233.64	321.675297786	60.942475	-146.913848333	2018-07-25 15:29:07	nan	nan	nan	nan
234.07	320.955846388	60.942376667	-146.914186667	2018-07-25 15:29:12	nan	nan	nan	nan
231.43	321.318858221	60.942266667	-146.914491667	2018-07-25 15:29:17	nan	nan	nan	nan
231.54	322.138458602	60.942123333	-146.914856667	2018-07-25 15:29:23	nan	nan	nan	nan
233.91	321.839777272	60.942008333	-146.915151667	2018-07-25 15:29:28	nan	nan	nan	nan
232.89	320.812110114	60.941893333	-146.915446667	2018-07-25 15:29:33	nan	nan	nan	nan
229.67	321.008747874	60.941783333	-146.915763333	2018-07-25 15:29:38	nan	nan	nan	nan
232.91	321.099671831	60.941673333	-146.916046667	2018-07-25 15:29:43	nan	nan	nan	nan
232.91	321.659808254	60.941673333	-146.916046667	2018-07-25 15:29:43	nan	nan	nan	nan
232.91	322.449045146	60.941673333	-146.916046667	2018-07-25 15:29:43	nan	nan	nan	nan
232.91	320.901070664	60.941673333	-146.916046667	2018-07-25 15:29:43	nan	nan	nan	nan
232.91	321.189932766	60.941673333	-146.916046667	2018-07-25 15:29:43	nan	nan	nan	nan
232.91	321.90683784	60.941673333	-146.916046667	2018-07-25 15:29:43	nan	nan	nan	nan
232.91	321.245518194	60.941673333	-146.916046667	2018-07-25 15:29:43	nan	nan	nan	nan
232.91	321.980148731	60.941673333	-146.916046667	2018-07-25 15:29:43	nan	nan	nan	nan
232.91	320.798623262	60.941673333	-146.916046667	2018-07-25 15:29:43	nan	nan	nan	nan
232.91	321.370668661	60.941673333	-146.916046667	2018-07-25 15:29:43	nan	nan	nan	nan
238.62	322.556232352	60.94056	-146.919193333	2018-07-25 15:30:34	nan	nan	nan	nan
235.96	321.659808254	60.940443333	-146.919566667	2018-07-25 15:30:40	nan	nan	nan	nan
237.15	320.656298532	60.940346667	-146.919881667	2018-07-25 15:30:45	nan	nan	nan	nan
237.24	322.267783095	60.940238333	-146.920285	2018-07-25 15:30:51	nan	nan	nan	nan
